SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
40,26,0,0,0,0,0,A,Michigan,Michigan,9883640,9884116,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857
162,26,0,380,0,0,0,A,Addison village,Michigan,605,605,604,601,595,593,590,585,587,585,583,583
162,26,0,440,0,0,0,A,Adrian city,Michigan,21133,21189,21148,21056,21035,20851,20784,20665,20687,20567,20387,20600
162,26,0,620,0,0,0,A,Ahmeek village,Michigan,146,146,147,147,147,145,147,144,144,141,142,144
162,26,0,700,0,0,0,A,Akron village,Michigan,402,402,402,400,396,391,391,385,381,378,378,375
162,26,0,860,0,0,0,A,Alanson village,Michigan,738,738,737,739,741,745,747,745,745,752,758,764
162,26,0,980,0,0,0,A,Albion city,Michigan,8616,8613,8601,8475,8334,8251,8242,8182,8308,8383,8448,8402
162,26,0,1180,0,0,0,A,Algonac city,Michigan,4110,4105,4094,4066,4046,4043,4043,4044,4041,4032,4027,4037
162,26,0,1260,0,0,0,A,Allegan city,Michigan,4998,4997,4996,4966,5007,5005,5030,5026,5020,5033,5020,5020
162,26,0,1300,0,0,0,A,Allen village,Michigan,191,196,196,195,194,193,192,192,191,192,189,190
162,26,0,1380,0,0,0,A,Allen Park city,Michigan,28210,28212,28146,27986,27907,27681,27652,27497,27360,27233,27092,26940
162,26,0,1540,0,0,0,A,Alma city,Michigan,9383,9374,9364,9308,9250,9215,9156,9110,9055,8984,8913,8890
162,26,0,1660,0,0,0,A,Almont village,Michigan,2674,2673,2670,2673,2683,2696,2722,2752,2779,2800,2800,2795
162,26,0,1740,0,0,0,A,Alpena city,Michigan,10483,10505,10473,10403,10331,10248,10213,10145,10102,10008,9972,9956
162,26,0,1800,0,0,0,A,Alpha village,Michigan,145,145,145,144,141,141,139,138,136,135,135,134
162,26,0,3000,0,0,0,A,Ann Arbor city,Michigan,113934,113988,114173,115539,116079,116820,118716,119884,120919,121493,121429,119980
162,26,0,3200,0,0,0,A,Applegate village,Michigan,248,248,248,245,242,238,237,233,233,231,230,232
162,26,0,3520,0,0,0,A,Armada village,Michigan,1730,1725,1725,1726,1732,1741,1744,1739,1735,1733,1723,1715
162,26,0,3740,0,0,0,A,Ashley village,Michigan,563,563,563,560,557,556,553,551,550,548,546,545
162,26,0,3880,0,0,0,A,Athens village,Michigan,1024,1024,1023,1015,1012,1009,1010,1005,1001,999,997,996
162,26,0,4080,0,0,0,A,Auburn city,Michigan,2087,2088,2086,2082,2094,2128,2128,2131,2110,2106,2094,2083
162,26,0,4105,0,0,0,A,Auburn Hills city,Michigan,21412,21414,21418,21556,21812,22211,22404,22741,22933,23392,23995,24748
162,26,0,4120,0,0,0,A,Au Gres city,Michigan,889,889,886,874,867,862,857,856,847,839,837,829
162,26,0,4160,0,0,0,A,Augusta village,Michigan,885,885,886,889,898,901,903,902,905,905,902,899
162,26,0,4740,0,0,0,A,Bad Axe city,Michigan,3129,3112,3109,3080,3053,3035,3016,2990,2964,2946,2936,2914
162,26,0,4940,0,0,0,A,Baldwin village,Michigan,1208,1200,1197,1155,1193,1186,1183,1136,1179,1180,1187,1079
162,26,0,5080,0,0,0,A,Bancroft village,Michigan,545,525,525,518,513,511,508,506,504,502,498,497
162,26,0,5140,0,0,0,A,Bangor city,Michigan,1885,1892,1889,1882,1864,1863,1859,1849,1847,1842,1835,1833
162,26,0,5320,0,0,0,A,Baraga village,Michigan,2053,2053,2052,2048,2030,2015,2009,2001,1999,1983,1963,1946
162,26,0,5500,0,0,0,A,Baroda village,Michigan,873,876,876,876,881,877,876,870,869,872,883,882
162,26,0,5580,0,0,0,A,Barryton village,Michigan,355,355,355,360,360,359,356,353,353,354,353,353
162,26,0,5660,0,0,0,A,Barton Hills village,Michigan,294,297,297,300,302,305,305,305,304,305,304,307
162,26,0,5920,0,0,0,A,Battle Creek city,Michigan,52347,52401,52315,51991,51871,51788,51776,51556,51453,51275,51105,51093
162,26,0,6020,0,0,0,A,Bay City city,Michigan,34932,34929,34879,34738,34509,34359,34052,33722,33330,33126,32948,32717
162,26,0,6460,0,0,0,A,Bear Lake village,Michigan,286,292,292,292,290,288,287,286,286,285,285,286
162,26,0,6660,0,0,0,A,Beaverton city,Michigan,1071,1197,1199,1204,1189,1190,1187,1172,1168,1172,1175,1179
162,26,0,6900,0,0,0,A,Belding city,Michigan,5757,5740,5734,5737,5725,5731,5742,5713,5717,5716,5730,5740
162,26,0,6980,0,0,0,A,Bellaire village,Michigan,1086,1086,1082,1073,1069,1064,1064,1059,1059,1067,1069,1066
162,26,0,7020,0,0,0,A,Belleville city,Michigan,3991,3989,3980,3958,3947,3916,3911,3898,3893,3890,3890,3896
162,26,0,7060,0,0,0,A,Bellevue village,Michigan,1282,1282,1282,1282,1283,1283,1288,1288,1294,1294,1298,1303
162,26,0,7520,0,0,0,A,Benton Harbor city,Michigan,10038,10030,10028,10063,10050,10035,10026,9960,9900,9853,9804,9741
162,26,0,7580,0,0,0,A,Benzonia village,Michigan,497,502,501,497,496,495,499,495,507,502,507,506
162,26,0,7660,0,0,0,A,Berkley city,Michigan,14970,14970,14977,15076,15176,15280,15331,15308,15354,15401,15395,15366
162,26,0,7860,0,0,0,A,Berrien Springs village,Michigan,1800,1800,1799,1798,1796,1785,1780,1764,1751,1742,1732,1727
162,26,0,7960,0,0,0,A,Bessemer city,Michigan,1905,1908,1907,1879,1854,1834,1813,1784,1765,1761,1751,1707
162,26,0,8100,0,0,0,A,Beulah village,Michigan,342,343,343,341,339,340,341,340,336,343,345,345
162,26,0,8160,0,0,0,A,Beverly Hills village,Michigan,10267,10251,10256,10322,10391,10455,10475,10430,10427,10425,10392,10352
162,26,0,8300,0,0,0,A,Big Rapids city,Michigan,10601,10433,10441,10647,10673,10470,10422,10363,10379,10352,10362,10363
162,26,0,8460,0,0,0,A,Bingham Farms village,Michigan,1111,1131,1132,1139,1147,1156,1160,1159,1164,1161,1152,1148
162,26,0,8540,0,0,0,A,Birch Run village,Michigan,1555,1555,1553,1543,1535,1521,1505,1488,1480,1480,1476,1476
162,26,0,8640,0,0,0,A,Birmingham city,Michigan,20103,20107,20109,20242,20381,20492,20798,20918,21129,21239,21280,21389
162,26,0,9000,0,0,0,A,Blissfield village,Michigan,3340,3336,3328,3306,3283,3272,3261,3255,3252,3261,3257,3266
162,26,0,9180,0,0,0,A,Bloomfield Hills city,Michigan,3869,3863,3865,3891,3927,3968,4003,4007,4011,4012,4004,3997
162,26,0,9220,0,0,0,A,Bloomingdale village,Michigan,454,454,453,449,445,447,446,444,444,443,439,439
162,26,0,9820,0,0,0,A,Boyne City city,Michigan,3735,3735,3732,3750,3759,3749,3744,3744,3740,3742,3738,3729
162,26,0,9840,0,0,0,A,Boyne Falls village,Michigan,294,294,294,295,296,294,295,294,295,294,296,297
162,26,0,10160,0,0,0,A,Breckenridge village,Michigan,1328,1331,1328,1321,1313,1312,1303,1298,1292,1283,1274,1273
162,26,0,10180,0,0,0,A,Breedsville village,Michigan,199,199,199,198,196,196,193,192,192,192,191,191
162,26,0,10580,0,0,0,A,Bridgman city,Michigan,2291,2289,2288,2287,2281,2269,2263,2254,2248,2236,2225,2212
162,26,0,10620,0,0,0,A,Brighton city,Michigan,7444,7453,7450,7476,7504,7567,7591,7623,7641,7652,7656,7656
162,26,0,10760,0,0,0,A,Britton village,Michigan,586,586,585,582,579,575,574,569,569,566,565,563
162,26,0,10860,0,0,0,A,Bronson city,Michigan,2349,2354,2348,2350,2337,2323,2328,2322,2310,2302,2308,2303
162,26,0,11000,0,0,0,A,Brooklyn village,Michigan,1206,1204,1203,1199,1198,1197,1193,1191,1184,1184,1180,1176
162,26,0,11180,0,0,0,A,Brown City city,Michigan,1325,1327,1326,1308,1292,1273,1265,1258,1258,1253,1251,1250
162,26,0,11400,0,0,0,A,Buchanan city,Michigan,4456,4458,4454,4452,4438,4417,4402,4364,4334,4313,4288,4263
162,26,0,11480,0,0,0,A,Buckley village,Michigan,697,704,704,701,700,699,706,705,709,713,716,718
162,26,0,11800,0,0,0,A,Burlington village,Michigan,261,280,280,278,278,278,278,277,277,276,278,278
162,26,0,11920,0,0,0,A,Burr Oak village,Michigan,828,828,828,825,821,821,819,815,811,806,807,806
