STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/1/2010,32,19,19
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/2/2010,20,10,10
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/3/2010,15,9,15
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/4/2010,22,15,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/5/2010,26,22,26
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/6/2010,28,24,24
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/7/2010,28,24,25
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/8/2010,28,19,20
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/9/2010,21,8,8
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/10/2010,20,5,16
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/11/2010,29,15,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/12/2010,29,22,23
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/13/2010,30,21,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/14/2010,33,22,33
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/15/2010,38,30,33
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/16/2010,36,30,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/17/2010,35,25,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/18/2010,35,27,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/19/2010,38,27,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/20/2010,31,22,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/21/2010,31,18,25
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/22/2010,35,24,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/23/2010,37,24,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/24/2010,39,30,38
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/25/2010,42,34,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/26/2010,35,28,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/27/2010,28,17,18
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/28/2010,20,9,9
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/29/2010,12,8,12
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/30/2010,18,12,13
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/31/2010,22,13,19
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/1/2010,23,5,5
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/2/2010,24,5,15
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/3/2010,27,15,25
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/4/2010,28,13,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/5/2010,33,22,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/6/2010,33,18,18
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/7/2010,24,10,10
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/8/2010,26,9,13
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/9/2010,27,12,19
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/10/2010,26,19,21
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/11/2010,26,21,23
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/12/2010,28,23,25
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/13/2010,29,24,24
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/14/2010,28,24,26
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/15/2010,31,23,24
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/16/2010,28,24,26
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/17/2010,30,25,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/18/2010,34,21,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/19/2010,35,18,18
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/20/2010,37,15,15
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/21/2010,40,15,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/22/2010,36,27,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/23/2010,33,23,23
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/24/2010,33,23,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/25/2010,33,17,18
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/26/2010,27,18,26
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/27/2010,31,26,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/28/2010,35,27,32
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/1/2010,35,29,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/2/2010,32,19,23
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/3/2010,34,20,20
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/4/2010,36,19,19
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/5/2010,36,15,15
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/6/2010,38,15,23
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/7/2010,48,23,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/8/2010,50,29,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/9/2010,56,28,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/10/2010,55,29,37
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/11/2010,57,34,36
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/12/2010,60,36,43
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/13/2010,48,41,42
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/14/2010,50,41,43
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/15/2010,49,40,41
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/16/2010,56,29,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/17/2010,54,28,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/18/2010,61,28,42
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/19/2010,57,41,46
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/20/2010,50,30,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/21/2010,35,21,21
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/22/2010,51,21,21
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/23/2010,52,21,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/24/2010,48,28,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/25/2010,53,28,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/26/2010,34,20,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/27/2010,37,22,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/28/2010,55,28,33
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/29/2010,48,32,33
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/30/2010,44,27,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/31/2010,64,27,54
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/1/2010,78,51,51
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/2/2010,83,51,62
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/3/2010,83,52,52
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/4/2010,63,42,46
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/5/2010,71,46,48
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/6/2010,67,45,45
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/7/2010,55,41,45
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/8/2010,46,35,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/9/2010,36,29,32
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/10/2010,43,27,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/11/2010,63,33,41
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/12/2010,59,32,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/13/2010,58,34,45
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/14/2010,61,44,44
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/15/2010,77,44,61
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/16/2010,83,49,50
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/17/2010,57,36,39
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/18/2010,43,33,33
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/19/2010,51,31,32
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/20/2010,55,32,37
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/21/2010,64,37,38
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/22/2010,44,29,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/23/2010,51,29,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/24/2010,65,30,44
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/25/2010,64,44,47
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/26/2010,55,38,46
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/27/2010,58,38,38
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/28/2010,50,30,33
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/29/2010,55,31,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/30/2010,83,34,61
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/1/2010,85,56,64
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/2/2010,77,56,56
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/3/2010,70,54,54
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/4/2010,71,47,47
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/5/2010,70,47,53
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/6/2010,69,42,42
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/7/2010,50,41,42
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/8/2010,48,33,37
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/9/2010,42,31,38
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/10/2010,52,30,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/11/2010,60,35,45
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/12/2010,50,44,46
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/13/2010,65,45,52
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/14/2010,56,47,51
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/15/2010,61,38,47
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/16/2010,59,39,43
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/17/2010,65,42,46
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/18/2010,68,41,49
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/19/2010,73,43,51
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/20/2010,76,49,57
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/21/2010,81,51,56
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/22/2010,65,54,58
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/23/2010,71,53,58
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/24/2010,90,58,73
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/25/2010,94,63,67
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/26/2010,90,61,68
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/27/2010,84,58,65
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/28/2010,77,54,59
